Latitude,Longitude,Bedrooms,Bathrooms,Square Feet,Year Built
33.6986919,-84.28539042,3,1,995,1955
33.69114497,-84.44997165,3,2,1482,1960
33.84050804,-84.64932113,3,3,1869,1990
33.93486692,-83.9493482,5,3,2399,2000
33.53881704,-84.36625368,5,2,956,1969
33.85076883,-84.8336495,3,2,1519,2005
33.80828888,-84.78238348,3,2,1369,1992
34.18374595,-84.52141999,4,4,3215,2001
33.60744913,-84.4223836,3,2,1109,1995
33.90216226,-84.60158465,4,4,1927,1999
33.73321288,-84.09566091,3,3,1371,2007
33.692389,-84.18431801,4,4,1872,1988
33.81565526,-84.02973567,4,3,1634,1970
33.60165346,-84.44457743,3,3,1891,2002
33.6325139,-84.01587027,3,2,2211,2015
33.63395475,-84.04397055,3,2,1301,1980
33.54244348,-84.40725328,3,2,1522,2005
33.98594073,-84.70182131,4,3,2133,1999
33.66592281,-83.90971229,3,2,1380,2006
25.9807834,-80.22738303,3,2,1463,1999
35.18227242,-97.42791835,3,2,1887,1999
35.29010085,-97.55570234,3,2,1523,1990
33.29031054,-111.5748388,6,4,3040,2006
36.09631998,-115.2441355,3,2,1346,1995
29.73346669,-95.73863135,4,4.1,4214,1994
30.3394165,-94.97998354,3,2.1,1624,2001
36.23042311,-115.3173093,3,3,2027,2002
29.45932853,-95.01374752,4,3.1,2372,2020
29.51566612,-95.01135553,3,2,1258,1997
28.20084574,-82.61511607,3,3,1872,2004
27.89504038,-82.53877106,4,2,1129,1958
28.05301306,-81.78366623,3,2,1224,1950
28.06660985,-81.49610707,5,3,2829,2006
29.69047473,-95.40604251,3,3.1,2020,2018
27.28754508,-80.37541025,3,2,1560,1989
26.15289194,-80.18130146,4,2,1773,1965
36.03578858,-115.2050069,4,3,1887,2008
36.23460586,-115.1487701,6,5,3235,2007
36.06406976,-115.020004,3,2,1380,2002
36.12765796,-115.2375801,3,3,1912,1976
32.92501511,-96.91674086,4,3,2437,1995
32.71984931,-96.48008786,4,3,2167,2022
32.98844758,-96.73101619,3,2,1794,1976
36.02778862,-115.3219746,3,3,1826,2019
36.05803569,-115.0942406,3,2,1289,1999
33.14948726,-96.51049701,3,2,1379,2023
33.13433648,-96.95369169,4,3,2405,2006
28.57278239,-81.2119897,3,3,1532,1988
28.78649271,-81.40004255,3,2,2393,2005
27.94060743,-82.72059123,3,2,1504,1964
34.02646748,-84.03152218,5,4,3959,2020
33.66553737,-84.27702956,4,2,1650,1963
33.64489722,-84.21514868,3,2,1644,1987
33.49328382,-112.3446509,5,3.5,4453,2002
33.62384101,-112.4044851,3,2,1676,2001
33.19276516,-111.5525079,5,2.5,2609,2012
33.63600702,-112.3886658,4,2.5,2446,2004
29.03814807,-80.99234423,3,2,1610,2019
34.10215208,-83.52846301,3,2,1324,2000
33.55735463,-84.4486493,5,2,1516,1967
33.9954727,-84.7424989,4,3,2072,1999
33.86104895,-84.28464272,4,2,1945,1963
33.86832003,-84.86282915,4,3,2233,2005
33.73235088,-84.19763046,5,3,2890,1964
33.67162061,-84.21498729,3,2,1619,1981
33.74488774,-84.30242318,3,3,1746,2003
34.52709769,-84.05334735,3,2,806,1992
38.84275172,-90.31959113,3,2,1291,1969
38.8305156,-90.19590774,3,1,923,1959
38.68152517,-90.39284301,3,1,1030,1951
38.52378085,-90.34276557,4,4,2551,2019
38.75306513,-90.40611851,3,1,1411,1951
33.42187225,-112.2147746,4,2,1601,2000
33.37076626,-111.6844683,3,2.5,1364,2005
33.1998806,-111.7883484,5,2,2182,2002
33.7973067,-84.0246075,3,2,1458,1981
33.01296437,-96.93861329,4,3,2608,1997
32.83424362,-97.0710231,4,3,2200,2004
33.61151917,-84.01510345,3,2,1222,1986
33.64162811,-84.42015085,3,2,1168,1998
33.03071019,-97.04684564,4,3,2414,1983
33.03272116,-111.9961887,4,2,1848,2021
32.91237459,-97.28957319,4,3,2573,2001
29.9035362,-95.71616172,3,2.1,2122,2015
26.05905679,-80.20308263,5,3,2517,2001
35.34377949,-80.68199511,3,2,1590,1987
32.94828506,-97.42281063,4,2,1817,2023
29.81490011,-95.17742402,4,2.1,2417,2003
33.08292244,-96.72543969,4,2,2141,1998
33.34133362,-111.9132125,3,2,2007,1994
32.92416787,-96.48558578,3,2,1909,1983
29.71056093,-95.63222132,3,2.1,1535,2007
34.01127245,-84.75817956,4,3,2224,2019
33.59126135,-112.0873696,4,1.5,1358,1961
33.68686601,-112.0241315,3,2,1850,2007
32.4046405,-111.041675,4,4,2378,2009
33.43812319,-111.7190038,3,2.5,1809,1994
33.29135666,-111.7010915,5,2.5,2189,2020
33.68222345,-112.2577331,5,3,3107,2014
32.62838289,-96.73537922,4,2,1062,1970
33.88766478,-83.86603113,4,3,2576,2017
